project_name,version,class_name,wmc,rfc,loc,max_cc,avg_cc,cbo,ca,ce,ic,cbm,lcom,lcom3,dit,noc,mfa,npm,dam,moa,cam,amc,bug
openj9,unknown,com.ibm.jvm.dtfjview.tools.impl.GrepTool,7,19,357,30,5.857142857142857,12,0,3,1,2,21,1.0,1,0,0.6111111111111112,6,0.0,5,0.4,51.0,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.impl.TokensTool,8,21,286,7,2.625,13,0,3,1,3,28,1.0,1,0,0.5789473684210527,6,1.0,6,0.6,35.75,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.utils.OutputStreamModifier,3,9,72,2,1.6666666666666667,6,0,0,1,4,3,1.0,1,0,0.0,2,1.0,3,0,24.0,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.utils.MaxLinesPrematchHandle,2,7,58,2,2.0,5,0,0,0,0,1,1.0,0,0,0.0,2,1.0,1,0,29.0,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.utils.BlockPostmatchHandle,2,4,53,4,2.5,2,0,0,0,0,1,1.0,0,0,0.0,2,1.0,0,0,26.5,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.utils.FileUtils,2,7,78,4,2.5,5,0,0,0,2,1,1.0,0,0,0.0,2,0,0,0.5,39.0,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.utils.BlockPrematchHandle,2,7,60,2,2.0,5,0,0,0,0,1,1.0,0,0,0.0,2,1.0,1,0,30.0,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.utils.MatchHandle,4,15,118,5,3.0,11,0,0,0,3,6,1.0,0,0,0.0,2,1.0,1,1.0,29.5,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.utils.StringReceiver,3,5,63,1,1.0,2,0,0,1,1,3,1.0,1,0,0.0,3,1.0,2,0,21.0,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.utils.RegExprMatchHandle,2,4,72,3,2.0,2,0,0,0,0,1,1.0,0,0,0.0,2,1.0,1,1.0,36.0,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.utils.StringModifier,1,5,62,4,4.0,4,0,0,0,0,0,0,0,0,0.0,1,1.0,3,0,62.0,3
openj9,unknown,com.ibm.jvm.dtfjview.tools.utils.MaxLinesPostmatchHandle,2,2,51,2,1.5,0,0,0,0,0,1,1.0,0,0,0.0,2,1.0,0,0,25.5,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.LogCommand,4,24,139,6,4.5,20,0,0,1,2,6,1.0,1,0,0.0,2,0,0,0.25,34.75,4
openj9,unknown,com.ibm.jvm.dtfjview.commands.CdCommand,2,11,81,6,3.5,9,0,0,1,0,1,1.0,1,0,0.0,2,0,0,0.3333333333333333,40.5,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.BaseJdmpviewCommand,13,31,289,5,1.8461538461538463,18,15,0,1,3,78,1.0,1,0,0.0,12,1.0,7,0.02666666666666667,22.23076923076923,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.FindNextCommand,2,8,67,3,2.0,6,0,0,1,0,1,1.0,1,0,0.8181818181818182,2,0,0,0.3333333333333333,33.5,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.ExceptionHandler,4,32,565,17,7.25,28,0,0,0,3,6,1.0,0,0,0.0,1,0.8571428571428571,3,0.09090909090909091,141.25,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.FindPtrCommand,6,20,129,6,3.1666666666666665,14,0,0,1,4,15,1.0,1,0,0.6,2,0.0,1,0.21739130434782608,21.5,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.PwdCommand,2,8,63,3,2.0,6,0,0,1,0,1,1.0,1,0,0.8181818181818182,2,0,0,0.3333333333333333,31.5,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.SimpleRedirectorCommand,2,8,72,6,3.5,6,3,0,1,2,1,1.0,1,0,0.8181818181818182,1,1.0,1,0,36.0,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.ScrollCommand,2,14,76,5,3.0,12,0,0,1,0,1,1.0,1,0,0.8181818181818182,2,0,0,0.3333333333333333,38.0,4
openj9,unknown,com.ibm.jvm.dtfjview.commands.HelpCommand,3,18,110,6,4.0,15,0,0,1,1,3,1.0,1,0,0.75,2,1.0,1,0.3333333333333333,36.666666666666664,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.OpenCommand,6,52,306,15,8.0,46,0,3,1,8,15,1.0,1,0,0.6,2,1.0,4,0.18181818181818182,51.0,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.WhatisCommand,10,39,266,7,4.0,29,0,0,1,11,45,1.0,1,0,0.47368421052631576,2,0,0,0.2765957446808511,26.6,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.FindCommand,13,57,317,10,4.0,44,0,0,1,14,33,0.4230769230769231,1,0,0.4090909090909091,3,0.0,3,0.12,24.384615384615383,7
openj9,unknown,com.ibm.jvm.dtfjview.commands.HexdumpCommand,3,26,191,19,7.333333333333333,23,0,0,1,1,3,1.0,1,0,0.75,3,0,0,0.25,63.666666666666664,4
openj9,unknown,com.ibm.jvm.dtfjview.commands.HeapdumpCommand,19,105,869,10,5.157894736842105,86,0,0,1,40,170,0.9941520467836257,1,0,0.32142857142857145,3,0.75,6,0.09090909090909091,45.73684210526316,4
openj9,unknown,com.ibm.jvm.dtfjview.commands.DeadlockCommand,4,35,400,37,10.5,31,0,0,1,2,6,1.0,1,0,0.6923076923076923,3,0,0,0.1111111111111111,100.0,4
openj9,unknown,com.ibm.jvm.dtfjview.commands.CloseCommand,2,15,85,8,4.5,13,0,1,1,0,1,1.0,1,0,0.8181818181818182,2,1.0,1,0.3333333333333333,42.5,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.infocommands.InfoThreadCommand,19,134,922,23,7.842105263157895,115,0,1,1,23,171,1.0,1,0,0.32142857142857145,6,1.0,2,0.058823529411764705,48.526315789473685,4
openj9,unknown,com.ibm.jvm.dtfjview.commands.infocommands.InfoJitmCommand,3,21,128,9,4.333333333333333,18,0,1,1,1,3,1.0,1,0,0.75,2,0,0,0.3333333333333333,42.666666666666664,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.infocommands.InfoMemoryCommand,8,40,289,8,4.5,32,0,1,1,10,28,1.0,1,0,0.5294117647058824,2,1.0,1,0.20202020202020202,36.125,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.infocommands.InfoLockCommand,6,46,268,17,7.0,40,0,1,1,5,15,1.0,1,0,0.6,2,0,0,0.058823529411764705,44.666666666666664,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.infocommands.InfoSymCommand,5,35,253,15,8.2,30,0,1,1,8,10,1.0,1,0,0.6428571428571429,2,1.0,1,0.14285714285714285,50.6,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.infocommands.InfoHeapCommand,6,28,217,8,4.0,22,0,1,1,7,15,1.0,1,0,0.6,2,0,0,0.4,36.166666666666664,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.infocommands.InfoSystemCommand,3,23,196,27,10.333333333333334,20,0,1,1,1,3,1.0,1,0,0.75,3,0,0,0.3333333333333333,65.33333333333333,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.infocommands.InfoProcCommand,10,50,250,9,3.6,40,0,1,1,8,45,1.0,1,0,0.47368421052631576,2,0,0,0.25,25.0,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.infocommands.InfoCommand,2,3,48,1,1.0,1,0,1,1,0,1,1.0,1,0,0.5,1,1.0,1,0,24.0,3
openj9,unknown,com.ibm.jvm.dtfjview.commands.infocommands.InfoMmapCommand,3,31,215,23,9.0,28,0,1,1,0,3,1.0,1,0,0.75,2,0,0,0.1111111111111111,71.66666666666667,3
